Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1,526301100,20,RL,0.410958904109589,0.14241978078478115,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.5,0.6376811594202909,0.1666666666666643,Hip,CompShg,BrkFace,Plywood,Stone,0.07,TA,TA,CBlock,TA,Gd,Gd,BLQ,0.11321757618710135,Unf,0.0,0.18878424657534246,0.176759410801964,GasA,Fa,Y,SBrkr,0.27767275782398654,0.0,0.0,0.2490580256217031,0.3333333333333333,0.0,0.25,0.0,0.375,0.3333333333333333,TA,0.3846153846153847,Typ,0.5,Gd,Attchd,0.20833333333333304,Fin,0.4,0.3548387096774194,TA,TA,P,0.14747191011235955,0.08355795148247978,0.0,0.0,0.0,0.0,,,,0.0,5,2010,WD ,Normal,0.27244408934925507
2,526350040,20,RH,0.20205479452054792,0.04824604454415856,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,0.4444444444444445,0.625,0.6449275362318847,0.18333333333333002,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,0.08291991495393339,LwQ,0.09436435124508519,0.11558219178082191,0.14435351882160394,GasA,TA,Y,SBrkr,0.11804242806133165,0.0,0.0,0.10587792012057273,0.0,0.0,0.25,0.0,0.25,0.3333333333333333,TA,0.23076923076923078,Typ,0.0,,Attchd,0.2115384615384608,Unf,0.2,0.49059139784946243,TA,TA,Y,0.09831460674157302,0.0,0.0,0.0,0.20833333333333331,0.0,,MnPrv,,0.0,6,2010,WD ,Normal,0.12423825569817747
3,526351010,20,RL,0.2054794520547945,0.06060903503236815,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.625,0.6231884057971016,0.13333333333333286,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0675,TA,TA,CBlock,TA,TA,No,ALQ,0.16353649893692418,Unf,0.0,0.1738013698630137,0.21751227495908348,GasA,TA,Y,SBrkr,0.20898970804452843,0.0,0.0,0.18745290128108516,0.0,0.0,0.25,0.5,0.375,0.3333333333333333,Gd,0.3076923076923077,Typ,0.0,,Attchd,0.20192307692307665,Unf,0.2,0.20967741935483872,TA,TA,Y,0.2759831460674157,0.04851752021563342,0.0,0.0,0.0,0.0,,,Gar2,0.7352941176470589,6,2010,WD ,Normal,0.21450908164928842
4,526353030,20,RL,0.2465753424657534,0.04608661104489472,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,0.6666666666666665,0.5,0.695652173913043,0.29999999999999716,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,0.18869596031183558,Unf,0.0,0.4473458904109589,0.3453355155482815,GasA,Ex,Y,SBrkr,0.3730308758664146,0.0,0.0,0.33458929917106256,0.3333333333333333,0.0,0.5,0.5,0.375,0.3333333333333333,Ex,0.46153846153846156,Typ,0.5,TA,Attchd,0.2339743589743586,Fin,0.4,0.35080645161290325,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4,2010,WD ,Normal,0.31151653640272103
5,527105010,60,RL,0.1815068493150685,0.058566453995185695,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0.4444444444444445,0.5,0.9057971014492754,0.7999999999999972,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,0.14014883061658398,Unf,0.0,0.0586472602739726,0.1518821603927987,GasA,Gd,Y,SBrkr,0.12476370510396974,0.3394673123486683,0.0,0.2439713639788998,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,TA,0.3076923076923077,Typ,0.25,TA,Attchd,0.32692307692307665,Fin,0.4,0.32392473118279574,TA,TA,Y,0.14887640449438203,0.04582210242587601,0.0,0.0,0.0,0.0,,MnPrv,,0.0,3,2010,WD ,Normal,0.23862621276160015
6,527105030,60,RL,0.19520547945205474,0.04056182663768726,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0.5555555555555556,0.625,0.9130434782608692,0.7999999999999972,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0125,TA,TA,PConc,TA,TA,No,GLQ,0.10666194188518781,Unf,0.0,0.1386986301369863,0.15155482815057283,GasA,Ex,Y,SBrkr,0.12434362528880487,0.32832929782082326,0.0,0.2392614920874152,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,Gd,0.3846153846153847,Typ,0.25,Gd,Attchd,0.3301282051282044,Fin,0.4,0.3158602150537635,TA,TA,Y,0.25280898876404495,0.04851752021563342,0.0,0.0,0.0,0.0,,,,0.0,6,2010,WD ,Normal,0.24617123702020047
7,527127150,120,RL,0.06849315068493152,0.016920236509383256,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,0.7777777777777777,0.5,0.9347826086956523,0.8500000000000014,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.10914245216158754,Unf,0.0,0.3090753424657534,0.21898527004909984,GasA,Ex,Y,SBrkr,0.21088006721277042,0.0,0.0,0.1891484551620196,0.3333333333333333,0.0,0.5,0.0,0.25,0.3333333333333333,Gd,0.3076923076923077,Typ,0.0,,Attchd,0.3397435897435894,Fin,0.4,0.39112903225806456,TA,TA,Y,0.0,0.0,0.1679841897233202,0.0,0.0,0.0,,,,0.0,4,2010,WD ,Normal,0.2704231007085586
8,527145080,120,RL,0.07534246575342464,0.017317534880459933,Pave,,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,0.7777777777777777,0.5,0.8695652173913047,0.7000000000000028,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,0.046598157335223246,Unf,0.0,0.43535958904109584,0.20949263502454993,GasA,Ex,Y,SBrkr,0.19869775257298883,0.0,0.0,0.17822155237377543,0.0,0.0,0.5,0.0,0.25,0.3333333333333333,Gd,0.23076923076923078,Typ,0.0,,Attchd,0.31089743589743524,RFn,0.4,0.34005376344086025,TA,TA,Y,0.0,0.11051212938005392,0.0,0.0,0.25,0.0,,,,0.0,1,2010,WD ,Normal,0.2407819339783431
9,527146030,120,RL,0.06164383561643834,0.01911238869802987,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,0.7777777777777777,0.5,0.8913043478260878,0.7666666666666657,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,0.2090715804394047,Unf,0.0,0.1776541095890411,0.2610474631751228,GasA,Ex,Y,SBrkr,0.2692711615206889,0.0,0.0,0.2415222305953278,0.3333333333333333,0.0,0.5,0.0,0.25,0.3333333333333333,Gd,0.23076923076923078,Typ,0.25,TA,Attchd,0.32051282051282026,RFn,0.4,0.40860215053763443,TA,TA,Y,0.16643258426966293,0.20485175202156336,0.0,0.0,0.0,0.0,,,,0.0,3,2010,WD ,Normal,0.30141159319923844
10,527162130,60,RL,0.13356164383561642,0.028979410596181268,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0.6666666666666665,0.5,0.9202898550724647,0.8166666666666629,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,0.42551369863013694,0.16268412438625207,GasA,Gd,Y,SBrkr,0.14576769586221383,0.3757869249394673,0.0,0.2769404672192916,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,Gd,0.3846153846153847,Typ,0.25,TA,Attchd,0.33333333333333304,Fin,0.4,0.2970430107526882,TA,TA,Y,0.09831460674157302,0.08086253369272238,0.0,0.0,0.0,0.0,,,,0.0,6,2010,WD ,Normal,0.23741361957718224
